Id,Class
4057192912.0,Heavy
4020332650.0,Heavy
1624580081.0,Heavy
1503960366.0,Heavy
4702921684.0,Moderate
4445114986.0,Moderate
2347167796.0,Moderate
6962181067.0,Moderate
8877689391.0,Moderate
8792009665.0,Moderate
8378563200.0,Moderate
8253242879.0,Moderate
7086361926.0,Moderate
7007744171.0,Moderate
5553957443.0,Moderate
4558609924.0,Moderate
4319703577.0,Moderate
3977333714.0,Moderate
2873212765.0,Moderate
2320127002.0,Moderate
2026352035.0,Moderate
2022484408.0,Moderate
1927972279.0,Moderate
1844505072.0,Moderate
8053475328.0,Moderate
5577150313.0,Moderate
6290855005.0,Light
6117666160.0,Light
3372868164.0,Light
1644430081.0,Light
6775888955.0,Light
6391747486.0,Light
8583815059.0,Light
4388161847.0,Light
2891001357.0,Light
